cell_id,issuer,metric,value_year,truth_value,truth_scale,truth_unit,truth_status,page_number,source_location,basis,entity_scope,truth_set_version,source_report,note
revenue_2022,millat_tractors,revenue,2022,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
revenue_2023,millat_tractors,revenue,2023,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
revenue_2024,millat_tractors,revenue,2024,"91,534,501",thousands,PKR,VALUE,110,Unconsolidated P&L - Revenue from contracts with customers,unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
revenue_2025,millat_tractors,revenue,2025,"52,108,997",thousands,PKR,VALUE,110,Unconsolidated P&L - Revenue from contracts with customers,unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
gross_profit_2022,millat_tractors,gross_profit,2022,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
gross_profit_2023,millat_tractors,gross_profit,2023,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
gross_profit_2024,millat_tractors,gross_profit,2024,"21,434,290",thousands,PKR,VALUE,110,Unconsolidated P&L - Gross profit,unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
gross_profit_2025,millat_tractors,gross_profit,2025,"13,867,091",thousands,PKR,VALUE,110,Unconsolidated P&L - Gross profit,unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
operating_profit_2022,millat_tractors,operating_profit,2022,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
operating_profit_2023,millat_tractors,operating_profit,2023,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
operating_profit_2024,millat_tractors,operating_profit,2024,"18,017,751",thousands,PKR,VALUE,110,Unconsolidated P&L - Operating profit,unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
operating_profit_2025,millat_tractors,operating_profit,2025,"10,236,479",thousands,PKR,VALUE,110,Unconsolidated P&L - Operating profit,unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
profit_after_tax_2022,millat_tractors,profit_after_tax,2022,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
profit_after_tax_2023,millat_tractors,profit_after_tax,2023,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
profit_after_tax_2024,millat_tractors,profit_after_tax,2024,"10,224,875",thousands,PKR,VALUE,110,Unconsolidated P&L - Profit after tax,unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
profit_after_tax_2025,millat_tractors,profit_after_tax,2025,"6,372,928",thousands,PKR,VALUE,110,Unconsolidated P&L - Profit after tax,unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
eps_2022,millat_tractors,eps,2022,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
eps_2023,millat_tractors,eps,2023,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
eps_2024,millat_tractors,eps,2024,52.26,full,PKR_per_share,VALUE,110,Unconsolidated P&L - EPS basic & diluted (restated),unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
eps_2025,millat_tractors,eps,2025,31.94,full,PKR_per_share,VALUE,110,Unconsolidated P&L - EPS basic & diluted (restated),unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
total_assets_2022,millat_tractors,total_assets,2022,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
total_assets_2023,millat_tractors,total_assets,2023,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
total_assets_2024,millat_tractors,total_assets,2024,"32,873,428",thousands,PKR,VALUE,108,Unconsolidated BS - balancing total (TOTAL EQUITY AND LIABILITIES),unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
total_assets_2025,millat_tractors,total_assets,2025,"32,988,591",thousands,PKR,VALUE,108,Unconsolidated BS - balancing total (TOTAL EQUITY AND LIABILITIES),unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
